success:8-0=1
time:0-1=10800
troop:cas-=0
troop:tankOshimai-=0
troop:tank1-=0
troop:fighter-=0
troop:armoredCar-=0
troop:bomber-=0
troop:logistic-=0
troop:artillery-=0
troop:kamikaze-=0
troop:suicideBomber-=0
troop:tank2-=0
troop:calvary-=0
troop:infantry-=0
set:food-=0
set:equipment-=0
set:manpower-=1
set:baseLand-=1500
set:usedLand-=1
set:capturedLand-=0
set:camp-=0
set:airport1-=0
set:baseLandMul-=1
set:baseLandTroopMul-=1
set:baseAirTroopMul-=1
set:baseTankMul-=1
set:baseAirToopMul2-=1
set:baseTrainingTimeMul-=1
set:baseRecovery-=1
set:baseRecoveryDiff-=0
set:farm-=0,0,0
set:civilianFactory-=1,0,0
set:militaryFactory-=0,0,0
set:trainingCamp-=0
set:airport2-=0
set:farmR-=1,0,0
set:divisionOfLaborR-=1,0,0
set:productionLineR-=1,0,0
set:landDoctrineR-=1,0,0
set:airDoctrineR-=1,0,0
set:urbanizationR-=1,0,0
set:trainingR-=1,0,0
set:weaponR-=1,0,0
set:recoveryR-=1,0,0
enemy:create-0=shroud
map:shroud-start=
0,0:A1,15,0,0,0,0,0,3,0,2,3,2$(0:0)6,(0:1)6,(0:2)6,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)0,(3:1)10,(3:2)10,(3:3)9$$(0:0)0,(0:1)0,(0:2)0,(0:3)0,(1:0)0,(1:1)8,(1:2)8,(1:3)9,(2:0)9,(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^0,1,1,0^*0,1,1,0*(hill)&0,1,0&;
0,1:A2,6,0,0,0,0,1,1,1,3,4,0$(0:0)6,(0:1)5,(0:2)7,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)8,(2:2)8,(2:3)8,(3:0)9,(3:1)9,(3:2)9,(3:3)9$|0,0,0,0,0,10|^0,0,0,2,1,1^*0,0,0,2,1,1*(plain)&0,1,0&;
0,2:A3,11,0,0,0,0,0,1,1,3,4,0$(0:0)7,(0:1)6,(0:2)0,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)0,(3:1)9,(3:2)9,(3:3)8$$(0:0)8,(0:1)8,(0:2)9,(0:3)9,(1:0),(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^0,1,0,3,1,2^*0,1,0,3,1,2*(snowland)&0,1,0&;
0,3:A4,5,0,0,0,0,2,1,1,1,3,1$(0:0)7,(0:1)6,(0:2)5,(0:3)5,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)8,(2:2)9,(2:3)9,(3:0)9,(3:1)10,(3:2),(3:3)$|0,0,0,0,0,10|^0,2,0,4,1,3^*0,2,0,4,1,3*(plain)&0,1,0&;
0,4:A5,0,11,0,0,0,0,0,1,1,4,4$(0:0)7,(0:1)1,(0:2)1,(0:3)1,(1:0)1,(1:1)1,(1:2)1,(1:3)1,(2:0)1,(2:1)1,(2:2)1,(2:3)1,(3:0)9,(3:1)8,(3:2)10,(3:3)10$$(0:0)9,(0:1)9,(0:2)9,(0:3)10,(1:0)10,(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^0,3,0,5,1,4^*0,3,0,5,1,4*(plain)&0,1,0&;
0,5:A6,15,0,0,0,0,1,2,0,2,4,1$(0:0)6,(0:1)6,(0:2)5,(0:3)0,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)9,(3:1)9,(3:2)10,(3:3)9$$(0:0)0,(0:1)0,(0:2)0,(0:3)0,(1:0)0,(1:1)0,(1:2)8,(1:3)8,(2:0)9,(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^0,4,0,6,1,5^*0,4,0,6,1,5*(hill)&0,1,0&;
0,6:A7,0,13,1,0,0,0,1,1,5,3,1$(0:0)7,(0:1)6,(0:2)1,(0:3)1,(1:0)1,(1:1)1,(1:2)1,(1:3)1,(2:0)1,(2:1)1,(2:2)1,(2:3)1,(3:0)1,(3:1)10,(3:2)1,(3:3)2$$(0:0)1,(0:1)8,(0:2)8,(0:3)8,(1:0)8,(1:1)8,(1:2)9,(1:3)9,(2:0)9,(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^0,5,0,7,1,6^*0,5,0,7,1,6*(plain)&0,1,0&;
0,7:A8,12,0,0,0,0,3,2,0,0,3,0$(0:0)6,(0:1)5,(0:2)6,(0:3)5,(1:0)0,(1:1)0,(1:2)0,(1:3)0,(2:0)0,(2:1)0,(2:2)0,(2:3)0,(3:0)0,(3:1)0,(3:2)0,(3:3)9$$(0:0)5,(0:1)0,(0:2)9,(0:3)9,(1:0),(1:1),(1:2),(1:3),(2:0),(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^0,6,0,8,1,7^*0,6,0,8,1,7*(desert)&0,1,0&;
0,8:A9,0,13,0,0,0,3,2,0,3,4,0$(0:0)6,(0:1)5,(0:2)6,(0:3)5,(1:0)1,(1:1)1,(1:2)1,(1:3)1,(2:0)1,(2:1)1,(2:2)1,(2:3)1,(3:0)8,(3:1)1,(3:2)8,(3:3)9$$(0:0)5,(0:1)1,(0:2)1,(0:3)1,(1:0)1,(1:1)8,(1:2)9,(1:3)9,(2:0)9,(2:1),(2:2),(2:3),(3:0),(3:1),(3:2),(3:3)$|0,0,0,0,0,10|^0,7,1,8^*0,7,1,8*(desert)&0,1,0&;
0,9:;
